numero,nombre,edad,teamTo,teamFrom,leagueTo,leagueFrom,totalCost, year,
56,Toby Alderweireld,26,Spurs,Atletico Madrid,Premier League,LaLiga,16.00.,2015,
57,Moussa Sow,29,Al-Ahli (UAE),Fenerbahce,UAE Gulf League,Super Lig,16.00.,2015,
58,Jonjo Shelvey,23,Newcastle,Swansea,Premier League,Premier League,16.00.,2015,
59,Roberto Soldado,30,Villarreal CF,Spurs,LaLiga,Premier League,16.00.,2015,
60,Andros Townsend,24,Newcastle,Spurs,Premier League,Premier League,15.70.,2015,
61,Virgil van Dijk,24,Southampton,Celtic,Premier League,Premiership,15.70.,2015,
62,Xherdan Shaqiri,23,Inter,Bayern Munich,Serie A,1.Bundesliga,15.00.,2015,
63,Roberto Pereyra,24,Juventus,Udinese Calcio,Serie A,Serie A,15.00.,2015,
64,Asier Illarramendi,25,Real Sociedad,Real Madrid,LaLiga,LaLiga,15.00.,2015,
65,Dimitri Payet,28,West Ham,Marseille,Premier League,Ligue 1,15.00.,2015,
66,Mario Suarez,28,Fiorentina,Atletico Madrid,Serie A,LaLiga,15.00.,2015,
67,Jordy Clasie,24,Southampton,Feyenoord,Premier League,Eredivisie,15.00.,2015,
68,Joao Cancelo,21,Valencia CF,Benfica,LaLiga,Liga NOS,15.00.,2015,
69,Ivan Cavaleiro,21,Monaco,Benfica,Ligue 1,Liga NOS,15.00.,2015,
70,Patrick Roberts,18,Man City,Fulham,Premier League,Championship,15.00.,2015,
71,Clinton N'Jie,22,Spurs,Olympique Lyon,Premier League,Ligue 1,14.10.,2015,
72,Petr Cech,33,Arsenal,Chelsea,Premier League,Premier League,14.00.,2015,
73,Paulinho,26,GZ Evergrande,Spurs,Super League,Premier League,14.00.,2015,
74,Adama Traore,20,Monaco,LOSC Lille,Ligue 1,Ligue 1,14.00.,2015,
75,Yohan Cabaye,29,Crystal Palace,Paris SG,Premier League,Ligue 1,13.90.,2015,
76,Benik Afobe,22,Bournemouth,Wolves,Premier League,Championship,13.30.,2015,
77,Sergi Darder,21,Olympique Lyon,Malaga CF,Ligue 1,LaLiga,13.10.,2015,
78,Hernanes,30,Juventus,Inter,Serie A,Serie A,13.00.,2015,
79,Demba Ba,30,SH Shenhua,Besiktas,Super League,Super Lig,13.00.,2015,
80,Fredy Guarin,29,SH Shenhua,Inter,Super League,Serie A,13.00.,2015,
81,Charles Aranguiz,26,Bay. Leverkusen,Internacional,1.Bundesliga,Serie A,13.00.,2015,
82,Ramiro Funes Mori,24,Everton,River Plate,Premier League,Primera Division,12.90.,2015,
83,Mohamed Elneny,23,Arsenal,FC Basel,Premier League,Super League,12.50.,2015,
84,Andre Gray,24,Burnley,Brentford,Championship,Championship,12.40.,2015,
85,Max Kruse,27,VfL Wolfsburg,Bor. M'gladbach,1.Bundesliga,1.Bundesliga,12.00.,2015,
86,Chicharito,27,Bay. Leverkusen,Man Utd,1.Bundesliga,Premier League,12.00.,2015,
87,Luis Muriel,24,Sampdoria,Udinese Calcio,Serie A,Serie A,12.00.,2015,
88,Chancel Mbemba,20,Newcastle,RSC Anderlecht,Premier League,Jupiler Pro League,12.00.,2015,
89,Jordan Ayew,23,Aston Villa,FC Lorient,Premier League,Ligue 1,12.00.,2015,
90,Rony Lopes,19,Monaco,Man City,Ligue 1,Premier League,12.00.,2015,
91,Jordan Rhodes,26,Middlesbrough,Blackburn,Championship,Championship,11.90.,2015,
92,Wahbi Khazri,24,Sunderland,G. Bordeaux,Premier League,Ligue 1,11.80.,2015,
93,Allan,24,SSC Napoli,Udinese Calcio,Serie A,Serie A,11.50.,2015,
94,Fabian Delph,25,Man City,Aston Villa,Premier League,Premier League,11.50.,2015,
95,Jeremain Lens,27,Sunderland,Dynamo Kyiv,Premier League,Premier Liga,11.40.,2015,
96,Tyrone Mings,22,Bournemouth,Ipswich,Premier League,Championship,11.30.,2015,
97,James Chester,26,West Brom,Hull City,Premier League,Championship,11.30.,2015,
98,Gonzalo Castro,28,Bor. Dortmund,Bay. Leverkusen,1.Bundesliga,1.Bundesliga,11.00.,2015,
99,Asmir Begovic,28,Chelsea,Stoke City,Premier League,Premier League,11.00.,2015,
100,Ciro Immobile,25,Sevilla FC,Bor. Dortmund,LaLiga,1.Bundesliga,11.00.,2015,
101,Angelo Ogbonna,27,West Ham,Juventus,Premier League,Serie A,11.00.,2015,
102,Kevin Kampl,24,Bay. Leverkusen,Bor. Dortmund,1.Bundesliga,1.Bundesliga,11.00.,2015,
103,Shinji Okazaki,29,Leicester,1.FSV Mainz 05,Premier League,1.Bundesliga,11.00.,2015,
104,Jonathan Calleri,22,Maldonado,Boca Juniors,Segunda Division - Segunda Fase,Primera Division,11.00.,2015,
105,Steven Naismith,29,Norwich,Everton,Premier League,Premier League,11.00.,2015,
106,Jemerson,23,Monaco,Atletico-MG,Ligue 1,Serie A,11.00.,2015,
107,Geuvanio,23,TJ Quanjian,Santos FC,League One,Serie A,11.00.,2015,
108,Thiago Neves,30,Al-Jazira,Hilal,UAE Gulf League,Professional League,11.00.,2015,
109,Jordan Amavi,21,Aston Villa,OGC Nice,Premier League,Ligue 1,11.00.,2015,
110,Timm Klose,27,Norwich,VfL Wolfsburg,Premier League,1.Bundesliga,11.00.,2015,
111,Yangyang Jin,23,HB CFFC,GZ R&F;,Super League,Super League,10.83.,2015,
112,Fabio Borini,24,Sunderland,Liverpool,Premier League,Premier League,10.70.,2015,
113,Abdoulaye Doucoure,23,Watford,Stade Rennais,Premier League,Ligue 1,10.60.,2015,
114,Adalberto Penaranda,18,Watford,Udinese Calcio,Premier League,Serie A,10.60.,2015,
115,Johannes Geis,21,FC Schalke 04,1.FSV Mainz 05,1.Bundesliga,1.Bundesliga,10.50.,2015,
116,Ricardo Alvarez,27,Sunderland,Inter,Premier League,Serie A,10.50.,2015,
117,Jesus Corona,22,FC Porto,FC Twente,Liga NOS,Eredivisie,10.50.,2015,
118,Dusan Basta,30,Lazio,Udinese Calcio,Serie A,Serie A,10.50.,2015,
119,Domenico Berardi,20,Sassuolo,Juventus,Serie A,Serie A,10.00.,2015,
120,Serge Aurier,22,Paris SG,Toulouse,Ligue 1,Ligue 1,10.00.,2015,
121,Josip Drmic,22,Bor. M'gladbach,Bay. Leverkusen,1.Bundesliga,1.Bundesliga,10.00.,2015,
122,Jordan Veretout,22,Aston Villa,FC Nantes,Premier League,Ligue 1,10.00.,2015,
123,Max Gradel,27,Bournemouth,Saint-Etienne,Premier League,Ligue 1,10.00.,2015,
124,Connor Wickham,22,Crystal Palace,Sunderland,Premier League,Premier League,10.00.,2015,
125,Adama Traore,19,Aston Villa,FC Barcelona B,Premier League,empty,10.00.,2015,
126,Santi Mina,19,Valencia CF,Celta de Vigo,LaLiga,LaLiga,10.00.,2015,
127,Jinhao Bi,25,SH Shenhua,HN Jianye,Super League,Super League,9.98.,2015,
128,Robbie Brady,23,Norwich,Hull City,Premier League,Championship,9.90.,2015,
129,Lu Zhang,28,TJ Quanjian,Liaoning FC,League One,Super League,9.80.,2015,
130,Matija Nastasic,22,FC Schalke 04,Man City,1.Bundesliga,Premier League,9.50.,2015,
131,Kevin Trapp,25,Paris SG,E. Frankfurt,Ligue 1,1.Bundesliga,9.50.,2015,
132,Aderllan Santos,26,Valencia CF,Braga,LaLiga,Liga NOS,9.50.,2015,
133,Alberto Paloschi,26,Swansea,Chievo Verona,Premier League,Serie A,9.50.,2015,
134,Michail Antonio,25,West Ham,Nottm Forest,Premier League,Championship,9.50.,2015,
135,Mapou Yanga-Mbiwa,26,Olympique Lyon,AS Roma,Ligue 1,Serie A,9.40.,2015,
136,Derlis Gonzalez,21,Dynamo Kyiv,FC Basel,Premier Liga,Super League,9.40.,2015,
137,Lewis Grabban,28,Bournemouth,Norwich,Premier League,Premier League,9.35.,2015,
138,Ke Sun,26,TJ Quanjian,JS Suning,League One,Super League,9.20.,2015,
139,Gabriel Boschilia,19,Monaco,Sao Paulo,Ligue 1,Serie A,9.06.,2015,
140,Bastian Schweinsteiger,30,Man Utd,Bayern Munich,Premier League,1.Bundesliga,9.00.,2015,
141,Idrissa Gueye,25,Aston Villa,LOSC Lille,Premier League,Ligue 1,9.00.,2015,
142,Asamoah Gyan,29,SIPG,Al-Ain FC,Super League,UAE Gulf League,9.00.,2015,
143,N'Golo Kante,24,Leicester,SM Caen,Premier League,Ligue 1,9.00.,2015,
144,Guido Carrillo,24,Monaco,Estudiantes,Ligue 1,Primera Division,9.00.,2015,
145,Etienne Capoue,27,Watford,Spurs,Premier League,Premier League,8.90.,2015,
146,Jurgen Damm,22,Tigres,CF Pachuca,Liga MX Clausura,Liga MX Clausura,8.85.,2015,
147,Khamis Esmaeel,26,Al-Ahli (UAE),Al-Jazira,UAE Gulf League,UAE Gulf League,8.70.,2015,
148,Jose Manuel Jurado,29,Watford,Spartak Moscow,Premier League,Premier Liga,8.60.,2015,
149,Benjamin Stambouli,24,Paris SG,Spurs,Ligue 1,Premier League,8.60.,2015,
150,Andrea Bertolacci,24,AS Roma,Genoa,Serie A,Serie A,8.50.,2015,
151,Mattia Destro,24,Bologna,AS Roma,Serie A,Serie A,8.50.,2015,
152,Gil,28,SD Luneng,Corinthians,Super League,Serie A,8.50.,2015,
153,Joshua Kimmich,20,Bayern Munich,VfB Stuttgart,1.Bundesliga,1.Bundesliga,8.50.,2015,
154,Rudy Gestede,26,Aston Villa,Blackburn,Premier League,Championship,8.50.,2015,
155,Nordin Amrabat,28,Watford,Malaga CF,Premier League,LaLiga,8.40.,2015,
156,Matej Vydra,23,Watford,Udinese Calcio,Premier League,Serie A,8.40.,2015,
157,Andrea Belotti,21,Torino,US Palermo,Serie A,Serie A,8.40.,2015,
158,Danny Ings,22,Liverpool,Burnley,Premier League,Championship,8.30.,2015,
159,Jonny Evans,27,West Brom,Man Utd,Premier League,Premier League,8.30.,2015,
160,Obbi Oulare,19,Watford,Club Brugge,Premier League,Jupiler Pro League,8.23.,2015,
161,Bradley Johnson,28,Derby,Norwich,Championship,Premier League,8.10.,2015,
162,Raul Garcia,29,Athletic Bilbao,Atletico Madrid,LaLiga,LaLiga,8.00.,2015,
163,Thorgan Hazard,22,Bor. M'gladbach,Chelsea,1.Bundesliga,Premier League,8.00.,2015,
164,Renato Augusto,27,BJ Sinobo Guoan,Corinthians,Super League,Serie A,8.00.,2015,
165,Fernando,23,Sampdoria,Shakhtar D.,Serie A,Premier Liga,8.00.,2015,
166,Luiz Adriano,28,AC Milan,Shakhtar D.,Serie A,Premier Liga,8.00.,2015,
167,Jeison Murillo,23,Inter,Granada CF,Serie A,LaLiga,8.00.,2015,
168,Samu Garcia,24,Villarreal CF,Malaga CF,LaLiga,LaLiga,8.00.,2015,
169,Samu Castillejo,20,Villarreal CF,Malaga CF,LaLiga,LaLiga,8.00.,2015,
170,Souza,26,Fenerbahce,Sao Paulo,Super Lig,Serie A,8.00.,2015,
171,Steven N'Zonzi,26,Sevilla FC,Stoke City,LaLiga,Premier League,8.00.,2015,
172,Burak Yilmaz,30,BJ Sinobo Guoan,Galatasaray,Super League,Super Lig,8.00.,2015,
173,Matias Kranevitter,22,Atletico Madrid,River Plate,LaLiga,Primera Division,8.00.,2015,
174,Joselu,25,Stoke City,Hannover 96,Premier League,1.Bundesliga,8.00.,2015,
175,Admir Mehmedi,24,Bay. Leverkusen,SC Freiburg,1.Bundesliga,2.Bundesliga,8.00.,2015,
176,Kenedy,19,Chelsea,Fluminense,Premier League,Serie A,8.00.,2015,
177,Davie Selke,20,RB Leipzig,Werder Bremen,2.Bundesliga,1.Bundesliga,8.00.,2015,
178,Jonas Hofmann,23,Bor. M'gladbach,Bor. Dortmund,1.Bundesliga,1.Bundesliga,8.00.,2015,
179,Alberto Grassi,20,SSC Napoli,Atalanta,Serie A,Serie A,8.00.,2015,
180,Stewart Downing,31,Middlesbrough,West Ham,Championship,Premier League,7.90.,2015,
181,Simon Kjaer,26,Fenerbahce,LOSC Lille,Super Lig,Ligue 1,7.65.,2015,
182,Lucas Ocampos,20,Marseille,Monaco,Ligue 1,Ligue 1,7.50.,2015,
183,Jonathan Tah,19,Bay. Leverkusen,Hamburger SV,1.Bundesliga,1.Bundesliga,7.50.,2015,
184,Cedric Bakambu,24,Villarreal CF,Bursaspor,LaLiga,Super Lig,7.50.,2015,
185,Robert Beric,24,Saint-Etienne,Rapid Vienna,Ligue 1,Bundesliga,7.50.,2015,
186,Jozo Simunovic,21,Celtic,Dinamo Zagreb,Premiership,1.HNL,7.50.,2015,
187,Carlos Pena,25,Guadalajara,Leon,Liga MX Clausura,Liga MX Clausura,7.30.,2015,
188,Jucilei,27,SD Luneng,Al-Jazira,Super League,UAE Gulf League,7.20.,2015,
189,Jonathas,26,Real Sociedad,Elche CF,LaLiga,LaLiga2,7.20.,2015,
190,Haifeng Ding,24,HB CFFC,Liaoning FC,Super League,Super League,7.10.,2015,
191,Chao Gu,26,JS Suning,HZ Greentown,Super League,Super League,7.05.,2015,
192,Falcao,29,Chelsea,Monaco,Premier League,Ligue 1,7.00.,2015,
193,Cedric Soares,23,Southampton,Sporting CP,Premier League,Liga NOS,7.00.,2015,
194,Lima,32,Al-Ahli (UAE),Benfica,UAE Gulf League,Liga NOS,7.00.,2015,
195,Iago Falque,26,AS Roma,Genoa,Serie A,Serie A,7.00.,2015,
196,Gokhan Inler,31,Leicester,SSC Napoli,Premier League,Serie A,7.00.,2015,
197,Ozan Tufan,20,Fenerbahce,Bursaspor,Super Lig,Super Lig,7.00.,2015,
198,Jefferson Farfan,30,Al-Jazira,FC Schalke 04,UAE Gulf League,1.Bundesliga,7.00.,2015,
199,Mathew Ryan,23,Valencia CF,Club Brugge,LaLiga,Jupiler Pro League,7.00.,2015,
200,Gaston Pereiro,20,PSV Eindhoven,Nacional,Eredivisie,Primera Division,7.00.,2015,
201,Juanmi,22,Southampton,Malaga CF,Premier League,LaLiga,7.00.,2015,
202,Vlad Chiriches,25,SSC Napoli,Spurs,Serie A,Premier League,7.00.,2015,
203,Gregoire Defrel,24,Sassuolo,AC Cesena,Serie A,Serie B,7.00.,2015,
204,Ersan Gulum,28,HB CFFC,Besiktas,Super League,Super Lig,7.00.,2015,
205,Kingsley Coman,19,Bayern Munich,Juventus,1.Bundesliga,Serie A,7.00.,2015,
206,Marko Grujic,19,Liverpool,Red Star,Premier League,SuperLiga,7.00.,2015,
207,Oriol Romeu,23,Southampton,Chelsea,Premier League,Premier League,7.00.,2015,
208,Yohan Benalouane,28,Leicester,Atalanta,Premier League,Serie A,7.00.,2015,
209,Naif Hazazi,26,Nasr,Shabab,Professional League,Professional League,6.80.,2015,
210,Jiawei Yang,24,JS Suning,SH Shenxin,Super League,League One,6.75.,2015,
211,Tom Ince,23,Derby,Hull City,Championship,Championship,6.70.,2015,
212,Eder,27,Swansea,Braga,Premier League,Liga NOS,6.70.,2015,
213,Dianzuo Liu,25,GZ Evergrande,GZ R&F;,Super League,Super League,6.70.,2015,
214,Daniel Amartey,21,Leicester,FC Copenhagen,Premier League,Superligaen,6.60.,2015,
215,Luka Jovic,18,Benfica B,Apol. Limassol,Ledman Liga Pro,First Division,6.60.,2015,
216,Carlos Tevez,31,Boca Juniors,Juventus,Primera Division,Serie A,6.50.,2015,
217,Robin van Persie,31,Fenerbahce,Man Utd,Super Lig,Premier League,6.50.,2015,
218,Kyriakos Papadopoulos,23,Bay. Leverkusen,FC Schalke 04,1.Bundesliga,1.Bundesliga,6.50.,2015,
219,Lewis Holtby,24,Hamburger SV,Spurs,1.Bundesliga,Premier League,6.50.,2015,
220,Ze Luis,24,Spartak Moscow,Braga,Premier Liga,Liga NOS,6.50.,2015,
221,Steven Berghuis,23,Watford,AZ Alkmaar,Premier League,Eredivisie,6.50.,2015,
222,Sidnei,25,Dep. La Coruna,Benfica,LaLiga,Liga NOS,6.50.,2015,
223,Lamine Kone,27,Sunderland,FC Lorient,Premier League,Ligue 1,6.50.,2015,
224,Rolando Mandragora,18,Juventus,Genoa,Serie A,Serie A,6.50.,2015,
225,Xuesheng Dong,26,HB CFFC,GZ Evergrande,Super League,Super League,6.50.,2015,
226,Giovani dos Santos,26,Los Angeles,Villarreal CF,MLS,LaLiga,6.35.,2015,
227,Ning Jiang,29,HB CFFC,GZ R&F;,Super League,Super League,6.25.,2015,
228,Nani,28,Fenerbahce,Man Utd,Super Lig,Premier League,6.00.,2015,
229,Mathieu Valbuena,30,Olympique Lyon,Dinamo Moscow,Ligue 1,Premier Liga,6.00.,2015,
230,Ivelin Popov,27,Spartak Moscow,Kuban Krasnodar,Premier Liga,Premier Liga,6.00.,2015,
231,Franco Di Santo,26,FC Schalke 04,Werder Bremen,1.Bundesliga,1.Bundesliga,6.00.,2015,
232,Aaron Lennon,28,Everton,Spurs,Premier League,Premier League,6.00.,2015,
233,Pedro Obiang,23,West Ham,Sampdoria,Premier League,Serie A,6.00.,2015,
234,Fabinho,21,Monaco,Rio Ave FC,Ligue 1,Liga NOS,6.00.,2015,
235,Kiko Casilla,28,Real Madrid,Espanyol,LaLiga,LaLiga,6.00.,2015,
236,Kevin Wimmer,22,Spurs,1. FC Koln,Premier League,1.Bundesliga,6.00.,2015,
237,Stephane Mbia,29,HB CFFC,Trabzonspor,Super League,Super Lig,6.00.,2015,
238,Eduardo Vargas,25,TSG Hoffenheim,SSC Napoli,1.Bundesliga,Serie A,6.00.,2015,
239,Nemanja Gudelj,23,AFC Ajax,AZ Alkmaar,Eredivisie,Eredivisie,6.00.,2015,
240,Gerard Deulofeu,21,Everton,FC Barcelona,Premier League,LaLiga,6.00.,2015,
241,Claudio Beauvue,27,Olympique Lyon,Guingamp,Ligue 1,Ligue 1,6.00.,2015,
242,Bernard Mensah,20,Atletico Madrid,Vit. Guimaraes,LaLiga,Liga NOS,6.00.,2015,
243,Iago Aspas,27,Sevilla FC,Liverpool,LaLiga,Premier League,6.00.,2015,
244,Daniele Baselli,23,Torino,Atalanta,Serie A,Serie A,6.00.,2015,
245,Gael Kakuta,24,Sevilla FC,Chelsea,LaLiga,Premier League,6.00.,2015,
246,Leandro Paredes,21,AS Roma,Boca Juniors,Serie A,Primera Division,6.00.,2015,
247,Atinc Nukan,21,RB Leipzig,Besiktas,2.Bundesliga,Super Lig,6.00.,2015,
248,Henri Saivet,25,Newcastle,G. Bordeaux,Premier League,Ligue 1,6.00.,2015,
249,David Nugent,30,Middlesbrough,Leicester,Championship,Premier League,5.60.,2015,
250,Ezequiel Lavezzi,30,HB CFFC,Paris SG,Super League,Ligue 1,5.50.,2015,
1,Paul Pogba,23,Man Utd,Juventus,Premier League,Serie A,105.00.,2016,
2,Gonzalo Higuain,28,Juventus,SSC Napoli,Serie A,Serie A,90.00.,2016,
3,Oscar,25,SIPG,Chelsea,Super League,Premier League,60.00.,2016,
4,Hulk,29,SIPG,Zenit S-Pb,Super League,Premier Liga,55.80.,2016,
5,John Stones,22,Man City,Everton,Premier League,Premier League,55.60.,2016,
6,Leroy Sane,20,Man City,FC Schalke 04,Premier League,1.Bundesliga,50.00.,2016,
7,Granit Xhaka,23,Arsenal,Bor. M'gladbach,Premier League,1.Bundesliga,45.00.,2016,
8,Henrikh Mkhitaryan,27,Man Utd,Bor. Dortmund,Premier League,1.Bundesliga,42.00.,2016,
9,Sadio Mane,24,Liverpool,Southampton,Premier League,Premier League,41.20.,2016,
10,Shkodran Mustafi,24,Arsenal,Valencia CF,Premier League,LaLiga,41.00.,2016,
11,Joao Mario,23,Inter,Sporting CP,Serie A,Liga NOS,40.00.,2016,
12,Julian Draxler,23,Paris SG,VfL Wolfsburg,Ligue 1,1.Bundesliga,40.00.,2016,
13,Michy Batshuayi,22,Chelsea,Marseille,Premier League,Ligue 1,39.00.,2016,
14,Eric Bailly,22,Man Utd,Villarreal CF,Premier League,LaLiga,38.00.,2016,
15,N'Golo Kante,25,Chelsea,Leicester,Premier League,Premier League,35.80.,2016,
16,Mats Hummels,27,Bayern Munich,Bor. Dortmund,1.Bundesliga,1.Bundesliga,35.00.,2016,
17,Andre Gomes,22,FC Barcelona,Valencia CF,LaLiga,LaLiga,35.00.,2016,
18,David Luiz,29,Chelsea,Paris SG,Premier League,Ligue 1,35.00.,2016,
19,Moussa Sissoko,27,Spurs,Newcastle,Premier League,Championship,35.00.,2016,
20,Renato Sanches,18,Bayern Munich,Benfica,1.Bundesliga,Liga NOS,35.00.,2016,
21,Grzegorz Krychowiak,26,Paris SG,Sevilla FC,Ligue 1,LaLiga,33.60.,2016,
22,Miralem Pjanic,26,Juventus,AS Roma,Serie A,Serie A,32.00.,2016,
23,Kevin Gameiro,29,Atletico Madrid,Sevilla FC,LaLiga,LaLiga,32.00.,2016,
24,Gabriel Jesus,19,Man City,Palmeiras,Premier League,Serie A,32.00.,2016,
25,Arkadiusz Milik,22,SSC Napoli,AFC Ajax,Serie A,Eredivisie,32.00.,2016,
26,Christian Benteke,25,Crystal Palace,Liverpool,Premier League,Premier League,31.20.,2016,
27,Islam Slimani,28,Leicester,Sporting CP,Premier League,Liga NOS,30.50.,2016,
28,Alvaro Morata,23,Real Madrid,Juventus,LaLiga,Serie A,30.00.,2016,
29,Paco Alcacer,23,FC Barcelona,Valencia CF,LaLiga,LaLiga,30.00.,2016,
30,Andre Schurrle,25,Bor. Dortmund,VfL Wolfsburg,1.Bundesliga,1.Bundesliga,30.00.,2016,
31,Goncalo Guedes,20,Paris SG,Benfica,Ligue 1,Liga NOS,30.00.,2016,
32,Gabriel Barbosa,20,Inter,Santos FC,Serie A,Serie A,29.50.,2016,
33,Dimitri Payet,29,Marseille,West Ham,Ligue 1,Premier League,29.30.,2016,
34,Naby Keita,21,RB Leipzig,RB Salzburg,1.Bundesliga,Bundesliga,29.00.,2016,
35,Yannick Bolasie,27,Everton,Crystal Palace,Premier League,Premier League,28.90.,2016,
36,Georginio Wijnaldum,25,Liverpool,Newcastle,Premier League,Championship,27.50.,2016,
37,Ilkay Gundogan,25,Man City,Bor. Dortmund,Premier League,1.Bundesliga,27.00.,2016,
38,Nico Gaitan,28,Atletico Madrid,Benfica,LaLiga,Liga NOS,25.00.,2016,
39,Samuel Umtiti,22,FC Barcelona,Olympique Lyon,LaLiga,Ligue 1,25.00.,2016,
40,Jese,23,Paris SG,Real Madrid,Ligue 1,LaLiga,25.00.,2016,
41,Andre Ayew,26,West Ham,Swansea,Premier League,Premier League,24.10.,2016,
42,Ezequiel Garay,29,Valencia CF,Zenit S-Pb,LaLiga,Premier Liga,24.00.,2016,
43,Odion Ighalo,27,CC Yatai,Watford,Super League,Premier League,23.30.,2016,
44,Marcos Alonso,25,Chelsea,Fiorentina,Premier League,Serie A,23.00.,2016,
45,Marko Pjaca,21,Juventus,Dinamo Zagreb,Serie A,1.HNL,23.00.,2016,
46,Morgan Schneiderlin,27,Everton,Man Utd,Premier League,Premier League,22.90.,2016,
47,Breel Embolo,19,FC Schalke 04,FC Basel,1.Bundesliga,Super League,22.50.,2016,
48,Vincent Janssen,22,Spurs,AZ Alkmaar,Premier League,Eredivisie,22.10.,2016,
49,Mario Gotze,24,Bor. Dortmund,Bayern Munich,1.Bundesliga,1.Bundesliga,22.00.,2016,
50,Antonio Candreva,29,Inter,Lazio,Serie A,Serie A,22.00.,2016,
51,Chengdong Zhang,27,HB CFFC,BJ Sinobo Guoan,Super League,Super League,20.44.,2016,
52,Axel Witsel,27,TJ Quanjian,Zenit S-Pb,Super League,Premier Liga,20.00.,2016,
53,Kevin Volland,23,Bay. Leverkusen,TSG Hoffenheim,1.Bundesliga,1.Bundesliga,20.00.,2016,
54,Didier Ndong,22,Sunderland,FC Lorient,Premier League,Rel. Ligue 1,20.00.,2016,
55,Ahmed Musa,23,Leicester,CSKA Moscow,Premier League,Premier Liga,19.50.,2016,
56,Sofiane Boufal,22,Southampton,LOSC Lille,Premier League,Ligue 1,18.70.,2016,
57,Claudio Bravo,33,Man City,FC Barcelona,Premier League,LaLiga,18.00.,2016,
58,Nolito,29,Man City,Celta de Vigo,Premier League,LaLiga,18.00.,2016,
59,Aleksandar Dragovic,25,Bay. Leverkusen,Dynamo Kyiv,1.Bundesliga,Premier Liga,18.00.,2016,
60,Leonardo Pavoletti,28,SSC Napoli,Genoa,Serie A,Serie A,18.00.,2016,
61,Jordon Ibe,20,Bournemouth,Liverpool,Premier League,Premier League,18.00.,2016,
62,Alexandre Pato,27,TJ Quanjian,Villarreal CF,Super League,LaLiga,18.00.,2016,
63,Borja Baston,23,Swansea,Atletico Madrid,Premier League,LaLiga,18.00.,2016,
64,Yuhao Zhao,23,HB CFFC,HZ Greentown,Super League,League One,17.80.,2016,
65,Wilfred Ndidi,20,Leicester,KRC Genk,Premier League,Jupiler Pro League,17.60.,2016,
66,Manolo Gabbiadini,25,Southampton,SSC Napoli,Premier League,Serie A,17.00.,2016,
67,Gerson,19,AS Roma,Fluminense,Serie A,Serie A,16.60.,2016,
68,Lucas Digne,22,FC Barcelona,Paris SG,LaLiga,Ligue 1,16.50.,2016,
69,Memphis Depay,22,Olympique Lyon,Man Utd,Ligue 1,Premier League,16.00.,2016,
70,Rafa Silva,23,Benfica,Braga,Liga NOS,Liga NOS,16.00.,2016,
71,Sime Vrsaljko,24,Atletico Madrid,Sassuolo,LaLiga,Serie A,16.00.,2016,
72,Andros Townsend,24,Crystal Palace,Newcastle,Premier League,Championship,15.60.,2016,
73,Joe Allen,26,Stoke City,Liverpool,Premier League,Premier League,15.50.,2016,
74,Nampalys Mendy,24,Leicester,OGC Nice,Premier League,Ligue 1,15.50.,2016,
75,Ryan Mason,25,Hull City,Spurs,Premier League,Premier League,15.40.,2016,
76,Graziano Pelle,31,SD Luneng,Southampton,Super League,Premier League,15.25.,2016,
77,Nacer Chadli,27,West Brom,Spurs,Premier League,Premier League,15.20.,2016,
78,Oliver Burke,19,RB Leipzig,Nottm Forest,1.Bundesliga,Championship,15.20.,2016,
79,Robbie Brady,25,Burnley,Norwich,Premier League,Championship,15.10.,2016,
80,Luka Milivojevic,25,Crystal Palace,Olympiacos,Premier League,Super League,15.10.,2016,
81,Mohamed Salah,24,AS Roma,Chelsea,Serie A,Premier League,15.00.,2016,
82,Christoph Kramer,25,Bor. M'gladbach,Bay. Leverkusen,1.Bundesliga,1.Bundesliga,15.00.,2016,
83,Ousmane Dembele,19,Bor. Dortmund,Stade Rennais,1.Bundesliga,Ligue 1,15.00.,2016,
84,Mattia Caldara,22,Juventus,Atalanta,Serie A,Serie A,15.00.,2016,
85,Jonatan Soriano,31,BJ Sinobo Guoan,RB Salzburg,Super League,Bundesliga,15.00.,2016,
86,Pierre-Emile Hojbjerg,20,Southampton,Bayern Munich,Premier League,1.Bundesliga,15.00.,2016,
87,Djibril Sidibe,23,Monaco,LOSC Lille,Ligue 1,Ligue 1,15.00.,2016,
88,Isaac Success,20,Watford,Granada CF,Premier League,LaLiga,15.00.,2016,
89,Helder Costa,23,Wolves,Benfica,Championship,Liga NOS,15.00.,2016,
90,Amadou Diawara,19,SSC Napoli,Bologna,Serie A,Serie A,14.50.,2016,
91,Victor Wanyama,25,Spurs,Southampton,Premier League,Premier League,14.40.,2016,
92,Ross McCormack,29,Aston Villa,Fulham,Championship,Championship,14.30.,2016,
93,Franco Vazquez,27,Sevilla FC,US Palermo,LaLiga,Serie A,14.25.,2016,
94,Lucas Perez,27,Arsenal,Dep. La Coruna,Premier League,LaLiga,14.00.,2016,
95,Piotr Zielinski,22,SSC Napoli,Udinese Calcio,Serie A,Serie A,14.00.,2016,
96,Filip Kostic,23,Hamburger SV,VfB Stuttgart,1.Bundesliga,2.Bundesliga,14.00.,2016,
97,Ashley Williams,31,Everton,Swansea,Premier League,Premier League,14.00.,2016,
98,Saido Berahino,23,Stoke City,West Brom,Premier League,Premier League,13.90.,2016,
